"name","category","evas","longitude","latitude"
"Augustfehn",5,"08000664",7.759659,53.22089
"Aukrug",7,"08003078",9.78581,54.082398
"Aulendorf",4,"08000014",9.644046,47.953052
"Aumenau",6,"08000668",8.24923441,50.4003057
"Aumühle",4,"08000669",10.314672,53.529853
"Auringen-Medenbach",6,"08000671",8.332093,50.113608
"Auw an der Kyll",6,"08000674",6.614525,49.903596
"Außenried",7,"08000672",13.181763,49.015763
"Aying",6,"08000675",11.769578,47.968762
"Aßlar",6,"08000633",8.462756,50.588657
"Aßling (Oberbay)",5,"08000634",11.993518,47.989491
"Baalberge",6,"08010013",11.784682,51.763048
"Baar-Ebenhausen",6,"08000678",11.4600921,48.6749376
"Babelsberg",4,"08080070",13.092871,52.391391
"Babenhausen (Hess)",5,"08000015",8.957182,49.957963
"Babenhausen Langstadt",7,"08003559",8.945733,49.922274
"Babstadt",7,"08000681",9.060708,49.240196
"Bacharach",5,"08000683",7.769523,50.056101
"Bachern",6,"08000685",11.378716,48.280159
"Bachfeld",7,"08011065",10.982451,50.405772
"Bachheim",7,"08000686",8.399399,47.862072
"Backnang",3,"08000016",9.425989,48.942676
"Bad Abbach",6,"08000689",11.994322,48.922732
"Bad Aibling",5,"08000690",12.004157,47.862028
"Bad Aibling Kurpark",6,"08000696",12.013823,47.857617
"Bad Bellingen",6,"08000864",7.557601,47.730804
"Bad Belzig",5,"08010031",12.594981,52.135969
"Bad Bentheim",4,"08000879",7.158539,52.30985
"Bad Bergzabern",6,"08000691",8.002787,49.103209
"Bad Berka",7,"08011066",11.28155,50.896138
"Bad Berka Zeughausplatz",7,"08011067",11.280095,50.900441
"Bad Berleburg",6,"08000907",8.394109,51.051197
"Bad Bevensen",5,"08000935",10.574141,53.078247
"Bad Blankenburg (Thüringerw)",6,"08010014",11.275498,50.682648
"Bad Bodendorf",6,"08001049",7.217217,50.556266
"Bad Bodenteich",6,"08001052",10.6727994,52.8350995
"Bad Brambach",6,"08011068",12.311414,50.217587
"Bad Breisig",5,"08000694",7.304564,50.504218
"Bad Camberg",5,"08001322",8.25505078,50.2966253
"Bad Doberan",5,"08010016",11.905335,54.100004
"Bad Driburg (Westf)",6,"08000697",9.03081,51.730323
"Bad Dürkheim",4,"08000698",8.170701,49.460633
"Bad Dürkheim-Trift",6,"08000708",8.193072,49.466416
"Bad Dürrenberg",6,"08011071",12.071053,51.305165
"Bad Elster",7,"08011072",12.256286,50.296672
"Bad Ems",5,"08000701",7.728637,50.327652
"Bad Ems West",6,"08000702",7.706039,50.330694
"Bad Endorf (Oberbay)",4,"08001787",12.301558,47.905066
"Bad Fallingbostel",6,"08001958",9.700233,52.862925
"Bad Freienwalde (Oder)",6,"08010017",14.035751,52.789933
"Bad Friedrichshall Hbf",3,"08000017",9.199771,49.231571
"Bad Friedrichshall-Kochendorf",6,"08000704",9.21098471,49.2185642
"Bad Gandersheim",6,"08000352",10.020236,51.86737
"Bad Griesbach",7,"08000707",8.230569,48.448618
"Bad Grönenbach",6,"08002378",10.253715,47.882468
"Bad Harzburg",4,"08000019",10.5542189,51.8883687
"Bad Hersfeld",3,"08000020",9.71658111,50.8697662
"Bad Holzhausen",6,"08002978",8.545854,52.289097
"Bad Homburg",3,"08000712",8.620624,50.219904
"Bad Honnef (Rhein)",5,"08000713",7.219533,50.639772
"Bad Hönningen",4,"08000711",7.310871,50.513676
"Bad Karlshafen",7,"08003182",9.44571,51.64627
"Bad Kissingen",5,"08000714",10.079885,50.191547
"Bad Kleinen",4,"08010018",11.466925,53.766974
"Bad Kohlgrub",6,"08000716",11.058204,47.668006
